"","zpid","latlon","street","zipcode","city","state","bedrooms","bathrooms","finishedSqFt","yearBuilt","price","rent","tax.year","tax","hoa","lat","lon"
"282",59779958,"[""37.762136"",""-122.408479""]","2600 18th St STE 6",94110,"San Francisco","CA","1","1","815","1999","1,167,700","3895",NA,"387720","500",37.762136,-122.408479
"283",80733268,"[""37.762378"",""-122.413391""]","3118 18th St APT 6",94110,"San Francisco","CA","1","2","1129","1998","1,167,700","4000",NA,"445062","500",37.762378,-122.413391
"284",2107638568,"[""37.761463"",""-122.424736""]","3649 18th St APT 6",94110,"San Francisco","CA","0","1","425","1920","1,167,700","2610",NA,"UNKNOWN","500",37.761463,-122.424736
"285",2114550684,"[""37.76192"",""-122.4185""]","3352 18th St APT 6",94110,"San Francisco","CA","1","1","675","1963","1,167,700","3400",NA,"UNKNOWN","500""zpid""",37.76192,-122.4185
"286",15090249,"[""37.784373"",""-122.479848""]","195 20th Ave APT 5",94121,"San Francisco","CA","1","1","638","1993","2,202,400","3450",NA,"323682","500",37.784373,-122.479848
"287",2115721606,"[""37.782669"",""-122.479873""]","283 20th Ave APT 5",94121,"San Francisco","CA","0","1","UNKNOWN","UNKNOWN","1,480,400","2460",NA,"UNKNOWN","500",37.782669,-122.479873
"288",2116531805,"[""37.785373"",""-122.480072""]","131 20th Ave APT 5",94121,"San Francisco","CA","0","1","UNKNOWN","UNKNOWN","2,202,400","2495",NA,"UNKNOWN","500""zpid""",37.785373,-122.480072
"289",15126544,"[""37.73601"",""-122.474075""]","2790 19th Ave UNIT 5",94132,"San Francisco","CA","UNKNOWN","2","1595","1979","1,551,600","4500",NA,"374247","500""zpid""",37.73601,-122.474075
"290",2098507148,"[""37.779264"",""-122.481776""]","447 22nd Ave APT 1",94121,"San Francisco","CA","2","1","UNKNOWN","1988","1,480,400","UNKNOWN",NA,"UNKNOWN","500",37.779264,-122.481776
"291",2099982928,"[""37.78453"",""-122.4815""]","174 22nd Ave APT 1",94121,"San Francisco","CA","2","1","UNKNOWN","UNKNOWN","2,202,400","UNKNOWN",NA,"UNKNOWN","500",37.78453,-122.4815
"292",2104370040,"[""37.772968"",""-122.480812""]","790 22nd Ave APT 1",94121,"San Francisco","CA","1","1","UNKNOWN","UNKNOWN","1,480,400","2865",NA,"UNKNOWN","500",37.772968,-122.480812
